时间,公司名,行业,轮次,金额,投资方,最新估值(估算)(万),标签,基本信息,团队信息
2022-03-09,Serve Robotics,智能硬件,战略投资,1000万美元,NVIDIA英伟达,32500,智能硬件、机器人、机器人,Serve Robotics是一家美国自动驾驶送货机器人研发商，主要进行机器人的设计、开发和运营零排放漫游车，可为食品领域提供配送服务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-09,NeuroBot矩视智能,智能硬件,A轮,数千万人民币,SIG海纳亚洲,15000,智能硬件、机器人、机器人,矩视智能NeuroBot是一家工业AI视觉开放平台提供商，将人工智能应用于工业视觉领域，在线提供字符识别、缺陷检测、尺寸测量、目标定位等功能，覆盖上千种工业细分场景，引领工业视觉领域的通用人工智能。,"弭宝瞳 创始人 弭宝瞳，NeuroBot创始人，上海科学院计算机硕士；中国人民大学计算机博士。曾任奇虎360研发工程师、产品经理。
 "
2022-03-09,法奥FAIR,智能硬件,B轮,5000万美元,"源码资本（领投）, 阿里巴巴, 美团龙珠, 顺为资本, 高瓴创投, 钟鼎资本",162500,智能硬件、机器人、机器人,法奥FAIR是一家实现全核心零部件自主研发的协作机器人公司，致力于为行业提供极致便利的深度智能系统解决方案，公司设计的自研减速机、伺服电机等核心部件获得了零售、工业、医疗、康养、农业等行业头部客户的认可。,巩相峰 创始人 巩相峰，法奥FAIR创始人。 
2022-03-09,蓝芯科技,先进制造,B+轮,近亿人民币,"尚珹资本（领投）, 蓝驰创投",50000,先进制造、智能装备、机器人,蓝芯科技以「 深度视觉」LX-MRDVS赋能移动机器人，为制造业客户提供安全、可靠、智能的柔性物流解决方案，是移动机器人领域自研MRDVS并实现批量应用的企业。现有产品包括AMR3D视觉传感器(含智能算法)、智能搬运机器人、SMT上下料机器人、印刷机/涂布机上下料机器人、复合机器人、无人叉车等。,高勇 CEO 高勇，杭州蓝芯科技有限公司CEO兼总经理 
2022-03-08,斯睿特智能,智能硬件,A轮,数千万人民币,广东文投创工场（广文投）,15000,智能硬件、机器人、机器人,斯睿特智能是一家工业AI智能解决方案研发商，专注于工业AI人工智能解决方案的研发、生产及应用。目前公司业务核心为工业机器人视觉系统、机器人视觉精密柔性组装装备和IOT智能设备的研发落地。,贾春英 创始人  贾春英 ，斯睿特执行董事。 
2022-03-07,科捷机器人,智能硬件,战略投资,未透露,"吉利控股, 沃途股权",50000,智能硬件、机器人、机器人,科捷机器人一直坚持“以机器人助推中国智造”为使命，长期致力于工业机器人、自动化物流设备及以智能装备为核心的工业4.0解决方案的研发、制造、销售。,陶喜冰 董事长 陶喜冰，科立捷CEO。 
2022-03-07,小马智行Pony.ai,汽车交通,D轮,数亿美元,,5525000,汽车交通、自动/无人驾驶、机器人,小马智行科技是一家自动驾驶解决方案提供商。致力于为机器人创建人工智能，主要产品为Pony.ai，是基于雷达、光学雷达、GPS及电脑视觉等技术感测其环境，达到自动驾驶目的。,彭军 联合创始人兼首席执行官 小马智行，联合创始人兼首席执行官。作为自动驾驶行业的领导者，彭军博士秉承“以事聚人，因人成事”的思想汇集最优秀的人、解决最难的事，以实现未来出行方式的彻底革新。在彭博士的带领下，小马智行已迅速成长为行业领导者之一。创立小马智行之前，彭博士曾担任百度自动驾驶部门首席架构师，负责百度自动驾驶的整体战略规划与技术发展。他拥有斯坦福大学博士学位以及清华大学学士学位。 楼天城 联合创始人兼首席技术官 楼天城，联合创始人兼首席技术官，是全球闻名的计算机编程大牛，以比赛 ID “ACRush” 为计算机编程界所知。他连续11年蝉联TopCoder中国区冠军，并且两次获得谷歌全球编程挑战赛冠军。楼博士投身于自动驾驶领域，坚信技术将为人们创造更安全更高效的出行未来。创立小马智行之前，楼博士是百度历史上最年轻的T10工程师。他的职业生涯开始于谷歌，曾在Google X（Waymo）从事无人车技术开发。他拥有清华大学博士及学士学位。 李衡宇 副总裁 李衡宇，小马智行副总裁，之前就职于百度。 
2022-03-07,Gecko Robotics,智能硬件,C轮,7300万美元,"Founders Fund, XYZ Ventures, Drive Capital, Mark Cuban, XN Ventures（领投）, Snowpoint Ventures, Gokul Rajaram",237250,智能硬件、机器人、机器人,Gecko Robotics是一家机器人基础设施检测服务商，致力于为工业企业提供机器人以帮助检查基础设施并预防事故。Gecko的机器人和基于人工智能的软件可以帮助其客户预测基础设施何时、在哪里可能出现故障，Gecko的客户包括杜克能源(Duke Energy Corp.)、荷兰皇家壳牌集团(Royal Dutch Shell PLC)和雪佛龙公司(Chevron Corp.)。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-04,英汉思动力,智能硬件,Pre-A轮,5000万人民币,"黄江吉, 胡郁, 晨晖创投, 浩方创投, 高秉强, 普曼资本（领投）, 潍坊中谷健康产业基金（领投）",25000,智能硬件、机器人、机器人,英汉思动力是一家从事轻型动力外骨骼研发的高科技企业。公司致力于研发在家庭环境下使用的轻型动力外骨骼机器人，从而帮助数以千万计的行走障碍患者更好的生活与行走。智能动力外骨骼技术可以实时检测人体行走步态，通过智能的控制算法与可穿戴的驱动装置为行走障碍患者提供外部助力，从而恢复其的行走功能，有着无限的发展可能，即将在未来康复体系中承担重要的功能。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-03,睿图智能retoo,智能硬件,Pre-A轮,未透露,克来机电,10000,智能硬件、其他硬件服务、机器人,睿图智能retoo是一家以高端机器视觉、智能机器人和信息技术为基础，以“机器人视觉感知与控制技术国家工程试验室”为技术背景，面向“中国制造2025”，为现代工业提供智能化解决方案、关键技术和器件设备的高科技企业。,周博文 董事长 周博文，湖南睿图智能科技有限公司创始人。 
2022-03-01,优地科技,智能硬件,战略投资,数亿人民币,首旅酒店集团(首旅如家),320000,智能硬件、机器人、机器人,优地科技是全球领先的配送服务机器人制造商。是业内最早实现无人驾驶设备量产商用的企业之一，其自有品牌机器人已经遍布600多个城市，已与8000多家B端酒店客户合作，累计服务数亿人次。优地科技也已经利用其成熟的技术，为众多业内公司提供机器人行走方案。优地科技致力于推动无人驾驶技术在最后三公里至室内末端配送领域的商用落地，为全球客户提供可靠稳定的移动机器人方案。,卢鹰 董事长 卢鹰，优地科技董事长。 顾震江 合伙人 顾震江，优地科技合伙人兼产品管理负责人。11年产品管理及市场拓展经验，先后任职BESTV百视通公司机顶盒产品管理、UT斯达康机顶盒产品线负责人。  
2022-02-28,穿山甲机器人,智能硬件,A+轮,数千万人民币,,15000,智能硬件、机器人、机器人,穿山甲机器人是一家国内商用服务机器人制造商，穿山甲致力于商用服务机器人领域的研发、生产、销售，为银行、酒店、商场、餐厅等多个场所提供更便捷的服务，经销网络遍布全国各地，为城市提供商用服务机器人，主要产品有：迎宾服务机器人、酒店咖啡机器人、餐饮服务机器人，凭借与时俱进的创新竞争力和日益突出的品牌影响力赢得了全球客户的信任与合作。,宋育刚 董事长兼总经理 苏州穿山甲机器人股份有限公司董事长兼总经理 于萱 董事会秘书 苏州穿山甲机器人股份有限公司董事会秘书 
2022-02-28,不停科技,本地生活,天使轮,数千万人民币,"惟一资本-微影资本（领投）, 汉能投资, 九派资本",15000,本地生活、餐饮业、机器人,不停科技是一家2B美食机器人RaaS服务商，打造的线上机器人Botin Bota，可以实时分析餐饮门店的运营数据，为其精细化运营提供指导意见。通过Botin Robot+Botin Gallery+Botin Bota的组合，不停科技可以为客户提供口味整体解决方案。,陈锐 CEO 陈锐，不停科技CEO。 
2022-02-24,诠视科技,智能硬件,A+轮,数千万人民币,"同润科投, 锐合投资, 联通, 希亚思基金（领投）, 天津合泰, 紫明芯投",15000,智能硬件、可穿戴设备、机器人,诠视科技是一家专注空间感知与交互的解决方案提供商，提供AR/VR眼镜的底层技术及系统集成。核心产品SlimEdge XR 是集VSLAM引擎，深度引擎，AI引擎，音视频引擎，手势眼控于一体的端处理平台，适用于分体式和一体式XR设备。,QIONG LIN CEO QIONG LIN，诠视科技CEO，资深计算机视觉算法专家、嵌入系统专家。 
2022-02-24,钛深科技,先进制造,B轮,数亿人民币,"创东方投资（领投）, 源渡创投, 王小川, 北京源慧",150000,先进制造、传感设备、机器人,钛深科技是一家高科技型初创企业，开发并拥有全球首创的柔性离电子触觉传感技术（Flexible Iontronic Sensing），并提供世界上最灵敏和最柔性的人机感应及交互界面。公司专注于开发柔性触觉传感器及触觉AI解决方案，并致力于解决其在医疗、消费电子、机器人及智能汽车等领域的应用。钛深科技率先通过提供超高灵敏度及超强抗噪性能的触觉传感器、柔性人机交互界面以及可穿戴健康监测技术来解决目前市场上对于高精度、大阵列、超柔性的触觉传感需求，并提供相应的技术咨询服务。,汪晓阳 董事长 汪晓阳，钛深科技董事长。 
2022-02-24,劢微机器人,物流,A+轮,数亿人民币,创世伙伴资本（领投）,150000,物流、物流装备、机器人,劢微机器人是场内智能物流解决方案提供商。以无人叉车/AMR为硬件载体，通过机器视觉及完整上层系统赋能，为客户提供完整的智能制造及智慧仓储解决方案。硬件产品包括：各类无人叉车及AMR；软件系统包括：WMS、WCS、现场管理系统及多种视觉解决方案。,陈文成 创始人&CEO 陈文成，劢微机器人创始人&CEO。  
2022-02-23,迈步机器人,智能硬件,战略投资,数千万人民币,威高股份,15000,智能硬件、机器人、机器人,迈步机器人是一家由海归博士团队和资深机器人行业从业者创立的医疗康复机器人科技公司。公司专注于打造智能康复体系，通过机器人、物联网、大数据等技术提升康复医疗的效率和效果。公司围绕其核心技术——基于柔性驱动器的机器人交互技术，研发了包括下肢康复外骨骼机器人在内的数款医疗康复机器人产品。迈步机器人团队在康复机器人领域拥有世界顶尖的技术水平，拥有数十项发明专利，具有强大的研发能力和创新理念。,胡峰 COO 曾在国内某服务机器人公司担任南方区域经理。 陈功 CEO 毕业于上海交通大学机械工程及自动化系，后来在新加坡国立大学生物医学工程读的博士，博士的课题就是康复外骨骼机器人，以及柔性驱动器人机交互方面，后来还做过一段时间的博士后，博士后研究的课题是脑控康复机器人等 
2022-02-22,麦岩智能,智能硬件,Pre-A轮,近亿人民币,"耀途资本（领投）, 元禾原点创投, 界石投资, 雅瑞资本, 势乘资本Scale Partners",50000,智能硬件、机器人、机器人,麦岩智能是一家专注于打造“未来社区智能服务机器人”的科技公司，主打产品为极光壹号社区楼宇清洁机器人，致力于解决社区清洁痛点，适合住宅、公寓、酒店、办公、项目案场等中小型室内公区。,李宇浩 CEO 李宇浩，麦岩智能创始人、CEO。北京航空航天大学物理系学士、北京大学国家发展研究院MBA、纽约福坦莫大学金融学硕士。曾担任京东方（目前世界最大显示科技集团）首厂首线工程师；以色列英飞尼迪投资集团北京办公室投资负责人；联想控股投资总监、互联网及创新消费投资部创立者及负责人；融创中国（1918.HK）下属融创文化集团联合创办者，2号员工；TCL电子（1070.HK）董事会成员，前乐视网董事会成员。 
2022-02-21,Soul Machines,智能硬件,B轮,7000万美元,"软银愿景基金（领投）, Cleveland Avenue, Liberty City Ventures, 淡马锡Temasek, Salesforce, Solasta Ventures, Horizo​​ns Ventures",227500,智能硬件、机器人、机器人,Soul Machines是一个智能情绪响应虚拟化身开发商，为 AI 行业中现有的和发展中的智能提供了情感和群体推理平台。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-02-21,Hyphen,智能硬件,A轮,2400万美元,Tiger Global老虎海外（领投）,78000,智能硬件、机器人、机器人,Hyphen是一家美国厨房机器人研发商，致力于为餐厅经营用户提供自动化机器人设备，简化人工流程，减少人力输出。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-02-18,清越科技,智能硬件,Pre-A轮,近千万美元,真格基金,32500,智能硬件、机器人、机器人,"清越科技是一家无间断病毒消杀设备研发商，专注“人机共存”无间断病毒消杀。旗下主要有“配盾”和“笑也”两个子品牌。在To B方向, 配盾推出了空气消毒机和空气消毒机器人。在To C方向，“笑也”定位口腔进阶护理科研品牌，目前已推出了一款产品“劲浪小飞鱼冲牙器”。
",陈志华 创始人 陈志华，清越科技总经理。 
2022-02-17,洛必德,智能硬件,B轮,1亿人民币,,50000,智能硬件、机器人、机器人,"洛必德是一家机器人研发与运营商，核心产品为服务机器人，公司致力于构建机器人工程师文化, 研发机器人，提供机器人有关的服务。",吴小平 经理，CEO 吴小平，北京洛必德科技有限公司的经理，CEO 
2022-02-14,智齿科技,企业服务,D轮,1亿美元,"软银愿景基金（领投）, 高瓴创投, 云启资本, 未来资产",552500,企业服务、客户服务、机器人,智齿科技是一家客户全生命周期服务解决方案的提供商，将人工智能及大数据技术有效整合，构建了包括呼叫中心、机器人「在线+呼入+呼出」、 人工在线客服、工单系统等产品，贯穿「售前+售中+售后」全流程，覆盖「服务+营销+协作+管理」全场景的「客户全生命周期服务」解决方案。,"徐懿 CEO 徐懿，北京智齿数汇科技有限公司CEO，此前曾担任福建星网锐捷网络产品经理。 彭伟 COO 彭伟，COO，Paperpass.com联合创始人，目前已经是国内最大的论文检测网站；
2010年～2013年就职于锐捷网络担任企业服务产品SNC产品经理，负责SNC全系列产品的生命周期管理；
2006年~2010年就职于广通信达科技有限公司担任产品经理，负责产品的生命周期管理、担任售前部总经理。 吴立楠 CTO 吴立楠，北京智齿科技CTO。原神州数码斯特奇事业部软件架构师。 龙中武 CSO 龙中武，北京智齿科技CSO。 展开全部 "
2022-02-10,程天科技,智能硬件,A+轮,1亿人民币,"达晨财智（领投）, 保利资本, 蓝驰创投, 安信证券",50000,智能硬件、机器人、机器人,程天科技是一家外骨骼机器人研发商，其产品可以帮助行动不便的患者恢复生活自理能力，主要提供起立行走、上下楼梯等功能。同时可以根据用户动作分析用户意图，并对用户的使用习惯进行自主学习。,王天 董事长 王天，程天科技董事长。 
2022-02-09,灵西机器人,智能硬件,B轮,近亿人民币,东方嘉富（领投）,50000,智能硬件、机器人、机器人,灵西机器人是一家机器人视觉智能解决方案供应商，专注于仓储物流、工业制造等领域，依托3D机器视觉和机器人智能规划技术为各产业客户提供无人化解决方案。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-02-07,珞石机器人,智能硬件,战略投资,4亿人民币,新希望集团,400000,智能硬件、机器人、机器人,珞石机器人是一家轻型工业机器人研发商，主要提供协作型工业机器人控制系统、工业机器人产品及智能制造解决方案等，其产品目前已广泛应用于打磨、上下料、装配、分拣、质检、缝纫等多个领域。,庹华 CEO 庹华，珞石科技创始人、CEO。毕业于北大的庹华，学的是电子与通信工程，硕士毕业后，进入世界500强企业爱立信；2010年8月从爱立信离职，从此进入了工业机器人行业，他曾分别在一家民企和央企研究院从事机器人的研发。 曹华 CTO 曹华，珞石机器人CTO，五年机器人行业经验，法国鲁昂高等电子工程学院硕士。 韩峰涛 CPO 韩峰涛，珞石科技联合创始人、CPO，五年机器人行业经验，浙江大学控制理论与控制工程硕士。 
2022-01-29,大寰机器人,智能硬件,战略投资,未透露,字节跳动,50000,智能硬件、机器人、机器人,大寰机器人是一个变胞机器人研发商，这种机器人的特点是在运动过程中能够发生拓扑结构和自由度的变化，所以会有多个构态，能够完成多种任务，可适用于多任务场合。根据构型综合设计出所需要变胞机构，可以形成多个机构的性能有机结合,孙杰 CEO 孙杰，深圳市大寰机器人科技有限公司CEO、英国伦敦大学国王学院博士生。 
2022-01-29,OpenAI,智能硬件,A轮,2.5亿美元,,3900000,智能硬件、机器人、机器人,OpenAI是一家非营利性人工智能研究公司，成立之初的目标是以安全的方式实现通用人工智能（AGI），使全人类平等收益。近几年推出的自然语言处理大型预训练模型GPT-3、AI图像生成器Dall-E两大代表性研究，引领了业界新的技术潮流。于 2019 年创建了一个机器人系统，完全在模拟中训练并部署在一个物理机器人上，它可以在一次完成后学习新任务。2021年，OpenAI 宣布已经解散机器人团队，并将重点转移到其他更容易获得数据的领域中。,Wojciech Zaremba 联合创始人 Wojciech Zaremba，OpenAI 联合创始人。 Elon Musk(已离职) 原CEO Elon Musk，OpenAI的CEO。 
2022-01-27,Wandelbots,智能硬件,C轮,8400万美元,"Insight Partners（领投）, 83North, 微软Microsoft, Next47, Paua Ventures, Atlantic Labs, EQT Ventures",273000,智能硬件、机器人、机器人,Wandelbots是一家工业机器人通用编程语言解决方案提供商。Wandelbots目前关注的领域主要是编程机器人手臂。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-26,中科光电,先进制造,Pre-A轮,数千万人民币,"东方嘉富, 盐南兴路产业基金, 上海众合, 风润智能, 宁夏正和",15000,先进制造、军工制造、机器人,中科光电是一家专注于从事军工光电装备、智能工业机器人系统和专用自动化设备研发与生产工作的企业，以智能视觉技术为核心，研制生产军工光电装备、智能工业机器人系统、智能检测系统。,吴易明 创始人 吴易明，西安中科光电精密工程有限公司CEO。 
2022-01-26,傅利叶智能,智能硬件,D轮,4亿人民币,"软银愿景基金（领投）, Prosperity7 Ventures, 元璟资本",350000,智能硬件、机器人、机器人,傅利叶智能是一家康复机器人研发商，集成了多种传感器、电机、高速数据采集芯片等，可以精确模拟出实际生活中的力学场景，为肢体功能障碍患者体用多样的目标导向性训练，刺激大脑功能重组，进而恢复肢体功能。,顾捷 CEO 顾捷，上海璟和技创机器人有限公司创始人及CEO，Flexbot创始人。 徐振华(已离职) 原CTO 毕业于上海交通大学，有十多年的机器人从业经验与研发积累，分别在知名外企FANUC机器人公司与GM泛亚汽车研发中心担任高级研发工程师。同时拥有两次创业背景，分别于2012至2015年成为璟和技创机器人联合创始人兼CTO，分别参与研发了Flexbot多体位康复机器人与OS多体位康复机器人，2016年至2018年成为傅利叶智能联合创始人兼CTO，分别研发了M2上肢力反馈机器人与X1下肢外骨骼康复机器人，所研发的产品获得多项发明专利与国际大奖，并成功在市场应用与推广。 
2022-01-24,千巡科技,智能硬件,Pre-A轮,数千万人民币,"信天创投（领投）, 七海资本",15000,智能硬件、机器人、机器人,千巡科技是一家专注特种移动机器人技术及人工智能软硬件产品开发的企业，产品涵盖电力巡检机器人、特种排爆机器人、消防机器人，提供机器人应用与运维服务。,王淮卿 董事长 王淮卿，千巡科技(深圳)有限公司董事长 
2022-01-22,Wandercraft,医疗健康,C轮,4500万美元,"Bpifrance（领投）, Quadrant Management（领投）",146250,医疗健康、医疗器械及硬件、机器人,Wandercraft是一家医疗科技机器人研发商，关注瘫痪以及患有肌肉性疾病、以及行动不便的老年人这批特殊用户，开发的是外骨骼服务型机器人，采用了更轻更耐用的复合材料，能够很好地模拟人体和生物兼容性。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-21,乐动机器人,智能硬件,B轮,未透露,"元璟资本, 源码资本, 新希望集团, 华业天成, 联通中金",15000,智能硬件、机器人、机器人,"乐动机器人是一家机器人产品研发商，专注于扫地机器人和3D视觉技术研发，在3D视觉、SLAM算法、体感交互等领域拥有多年的研发经验，致力于为高性能消费级机器人提供室内定位、导航及3D视觉等领域的解决方案，主要产品有扫地机器人、3D TOF深度摄像头、2D激光雷达、Navipack定位导航套件。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-21,鳍源科技,智能硬件,B+轮,数千万人民币,同创伟业,15000,智能硬件、机器人、机器人,鳍源科技是一家消费级水下机器人开发商，专注于水下机器人关键技术的研发与突破，打造科技互联的海洋平台，推动对海洋的探索和保护。公司以水下机器人系统及水下大数据为核心，重塑了水下运动，水下拍摄，救援，水下公共安全，渔业，教育等领域的生产和生活方式。目前产品覆盖了消费及轻工业应用两个方面。,张翀 创始人 曾在富士康工作十年，完整地经历了设计研发、生产销售及供应链管理等环节；主导过包括Apple、任天堂、sony等知名产品的量产工作。 
2022-01-21,博清科技,智能硬件,战略投资,近亿人民币,中国石化,50000,智能硬件、机器人、机器人,博清科技是一家爬行焊接机器人研发商，旗下产品包括无轨导全位置爬行焊接机器人、平面自主移动焊接机器人等，具有自主识别焊缝、弯曲焊缝等功能，主要应用于油气化工、造船业、核电、水电、新能源等领域。,冯消冰 创始人 冯消冰，北京博清科技有限公司董事长 
2022-01-19,Aigen,智能硬件,种子轮,400万美元,"NEA恩颐投资-New Enterprise Associates（领投）, AgFunder, Global Founders Capital, Regent Capital",13000,智能硬件、机器人、机器人, Aigen是一家美国太阳能机器人平台研发商，专注于农业服务领域，致力于通过自主研发的太阳能机器人平台，对土壤进行恢复，及植物管理，帮助农民应对农业体力劳动短缺问题。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-18,元化智能,智能硬件,B轮,数亿人民币,"基石资本（领投）, 深创投, 红杉资本中国, 国科嘉和, 万汇资本",150000,智能硬件、机器人、机器人,元化智能是一家骨科手术机器人研发商，专注于研发医疗手术机器人、稠密人群服务机器人、以及场景人工智能技术。目前的核心产品是一款全骨科手术辅助机器人系统——骨圣元化全骨科手术辅助机器人系统。该系统可实现膝髋关节置换、创伤置钉接骨、脊柱椎板切除的覆盖骨科全部手术类型。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-17,一寺君亩,智能硬件,天使轮,260万人民币,扶摇资本,1300,智能硬件、机器人、机器人,"一寺君亩是一家物联网机器人研发商，一君让机器人物联网化，让机器人走向大众，让机器人连接未来。作为新来者，一君带来颠覆性的用户体验——机器人的傻瓜化操作。与之前所有公司不同，一君生产的机器人抛弃了遥控器，改用智能手机上的一款APP操控运行，由此带来的巨大变化是操控的零门槛与基于移动互联网功能拓展的巨大空间。
",史剑峰 CEO 史剑峰，一寺君亩CEO。 
2022-01-17,Exotec Solutions,物流,D轮,3.35亿美元,"高盛GoldmanSachs(国外)（领投）, 83North, Dell Technologies Capital",1088750,物流、物流装备、机器人,Exotec Solutions是法国一家分拣运输机器人研发商，公司研发了工业机器人Skypod，Skypod机器人能够以10英里/小时的速度进行三维移动，并使用激光扫描仪导航穿越仓库，将收集和转移货物转送给手动安排产品发货的人。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
